bet_id,match,league,market,odds,actual_stake,actual_profit,actual_result,actual_stake_pct,adj_stake,adj_profit,adj_bankroll_after,created_at,settled_at
868,Махач Т vs Баэс С,ATP. Барселона. Грунт,player1_win,1.78,480.0,3887.88,won,0.0503,500.0,390.0,100390.0,2026-04-12 05:23:31,2026-04-14 21:36:39
869,Навоне М vs Рублев А,ATP. Барселона. Грунт,player1_win,2.03,480.0,-6233.05,lost,0.0629,501.95,-501.95,99888.05,2026-04-12 05:23:31,2026-04-14 21:36:39
870,Ландалус М vs Музетти Л,ATP. Барселона. Грунт,player1_win,3.35,480.0,-5826.76,lost,0.0588,499.44,-499.44,99388.61,2026-04-12 05:23:31,2026-04-14 21:36:39
871,Табило А vs Фонсека Ж,ATP. Мюнхен. Грунт,player1_win,2.4,480.0,-3488.13,lost,0.0352,496.94,-496.94,98891.67,2026-04-12 05:23:31,2026-04-14 21:36:39
872,Штруфф Я-Л vs Серундоло Ф,ATP. Мюнхен. Грунт,player1_win,5.1,480.0,0.0,cancelled,0.0954,494.46,0.0,98891.67,2026-04-12 05:23:31,2026-04-14 22:10:11
873,Чилич М vs Альтмайер Д,ATP. Мюнхен. Грунт,player1_win,1.83,480.0,-5658.3,lost,0.0571,494.46,-494.46,98397.21,2026-04-12 05:23:31,2026-04-14 21:36:39
874,Виртанен О vs Мюллер А,ATP. Барселона. Грунт. Квалификация,player1_win,3.15,480.0,11195.49,won,0.0553,491.99,1057.78,99454.99,2026-04-12 05:23:31,2026-04-13 08:31:37
875,Зигемунд Л vs Фрех М,WTA. Штутгарт. Грунт,player1_win,2.1,480.0,8697.69,won,0.083,497.27,547.0,100001.99,2026-04-12 05:23:31,2026-04-14 02:41:25
876,Остапенко Е vs Андреева М,WTA. Штутгарт. Грунт,player1_win,4.0,480.0,-4954.73,lost,0.05,500.01,-500.01,99501.98,2026-04-12 05:23:31,2026-04-14 21:36:39
877,Эала А vs Фернандес Л,WTA. Штутгарт. Грунт,player1_win,2.2,480.0,-3709.41,lost,0.0531,497.51,-497.51,99004.47,2026-04-12 05:23:31,2026-04-14 21:50:49
878,Корпач Т vs Шнайдер Д,WTA. Штутгарт. Грунт,player1_win,4.3,480.0,-9909.46,lost,0.1,495.02,-495.02,98509.45,2026-04-12 05:23:31,2026-04-14 21:36:39
879,Лис Е vs Бадоса П,WTA. Штутгарт. Грунт,player1_win,2.9,480.0,3972.7,won,0.0211,492.55,935.85,99445.3,2026-04-12 05:23:31,2026-04-14 21:36:39
880,Ферро Ф vs Кирстя С,WTA. Руан. Грунт,player1_win,4.3,480.0,0.0,pending,0.0844,497.23,,99445.3,2026-04-12 05:23:31,
881,Крету Ч vs Агаменоне Ф,ATP Челленджер. Оэйраш 3. Квалификация,player1_win,2.5,480.0,-10093.32,lost,0.0958,497.23,-497.23,98948.07,2026-04-12 05:23:31,2026-04-13 08:53:28
882,Норри К vs Вавринка С,ATP. Барселона. Грунт,player2_win,3.65,480.0,-476.32,lost,0.005,494.74,-494.74,98453.33,2026-04-12 11:01:53,2026-04-14 02:41:25
883,Зверев А vs Кецманович М,ATP. Мюнхен. Грунт,player2_win,5.3,480.0,-495.47,lost,0.005,492.27,-492.27,97961.06,2026-04-12 11:01:53,2026-04-14 21:36:39
884,Риндеркнеш А vs Микелсен А,ATP. Мюнхен. Грунт,player2_win,2.15,480.0,-476.32,lost,0.005,489.81,-489.81,97471.25,2026-04-12 11:01:53,2026-04-14 02:41:25
885,Коболли Ф vs Фучович М,ATP. Мюнхен. Грунт,player2_win,2.35,480.0,0.0,cancelled,0.005,487.36,0.0,97471.25,2026-04-12 11:01:53,2026-04-14 22:10:11
886,Грикспор Т vs Шаповалов Д,ATP. Мюнхен. Грунт,player1_win,1.8,480.0,-495.47,lost,0.005,487.36,-487.36,96983.89,2026-04-12 11:01:53,2026-04-14 21:36:39
887,Андреева М vs Потапова А,WTA. Линц. Грунт,player2_win,4.0,480.0,-473.18,lost,0.005,484.92,-484.92,96498.97,2026-04-12 11:01:53,2026-04-13 08:03:05
888,Блинкова А vs Потапова А,WTA. Руан. Грунт,player1_win,3.35,480.0,1164.36,won,0.005,482.49,1133.85,97632.82,2026-04-12 11:01:53,2026-04-14 21:36:39
889,Баптист Х vs Понше Дж,WTA. Руан. Грунт,player2_win,3.7,480.0,-352.81,lost,0.005,488.16,-488.16,97144.66,2026-04-12 11:01:53,2026-04-14 21:45:56
890,Костюк М vs Парри Д,WTA. Руан. Грунт,player2_win,3.9,480.0,-495.47,lost,0.005,485.72,-485.72,96658.94,2026-04-12 11:01:53,2026-04-14 21:36:39
891,Опелка Р vs Куинн И,ATP. Барселона. Грунт,player1_win,2.2,480.0,-476.32,lost,0.005,483.29,-483.29,96175.65,2026-04-12 18:01:55,2026-04-14 02:41:25
892,Махач Т vs Баэс С,ATP. Барселона. Грунт,player1_win,1.68,480.0,345.38,won,0.005,480.88,327.0,96502.65,2026-04-12 18:01:55,2026-04-14 20:14:06
893,Навоне М vs Рублев А,ATP. Барселона. Грунт,player1_win,2.3,480.0,-507.91,lost,0.005,482.51,-482.51,96020.14,2026-04-12 18:01:55,2026-04-14 20:14:06
894,Ландалус М vs Музетти Л,ATP. Барселона. Грунт,player1_win,4.15,480.0,-507.91,lost,0.005,480.1,-480.1,95540.04,2026-04-12 18:01:55,2026-04-14 20:14:06
895,Алькарас К vs Виртанен О,ATP. Барселона. Грунт,player2_win,19.0,480.0,-507.91,lost,0.005,477.7,-477.7,95062.34,2026-04-12 18:01:55,2026-04-14 20:14:06
896,Диалло Г vs Сачко В,ATP. Мюнхен. Грунт,player2_win,2.65,480.0,-476.32,lost,0.005,475.31,-475.31,94587.03,2026-04-12 18:01:55,2026-04-14 02:41:25
897,Нава Э vs Шелтон Б,ATP. Мюнхен. Грунт,player1_win,3.15,480.0,-476.32,lost,0.005,472.94,-472.94,94114.09,2026-04-12 18:01:55,2026-04-14 02:41:25
898,Бергс З vs Топо М,ATP. Мюнхен. Грунт,player2_win,4.3,480.0,-507.91,lost,0.005,470.57,-470.57,93643.52,2026-04-12 18:01:55,2026-04-14 20:14:06
